,gini,permutation
Assignment_Start,0.04033171342934887,0.0032800000000000385
Video_Watch,0.03521294474595286,0.003120000000000056
Synchronous_Join,0.035688660850898654,0.003040000000000054
Dashboard_View,0.0698965100872615,0.0026400000000000533
Assignment_Submit,0.04232066300103308,0.00248000000000006
TOD:Night,0.019708003203436113,0.0023200000000000442
n_sessions,0.09470553541487504,0.002240000000000053
Grade_Check,0.0644663649453787,0.0021600000000000395
Page_Navigation,0.0659700504138449,0.0020800000000000484
Content_Study,0.05027552169922953,0.0020800000000000484
Assessment_Submit,0.03646842019676556,0.0020800000000000375
Forum_View,0.03106449733816661,0.001920000000000055
Synchronous_Leave,0.03437892231087966,0.0018400000000000417
TOD:Evening,0.027570331055335934,0.0017600000000000504
total_actions,0.09170226248736409,0.0017600000000000393
TOD:Afternoon,0.030319121951955522,0.0014400000000000523
Resource_Download,0.0274818688557674,0.0014400000000000413
Feedback_Review,0.05746740570733151,0.00136000000000005
Assessment_Start,0.029025496963312428,0.00136000000000005
TOD:Morning,0.025404589959767042,0.001360000000000039
active_days,0.042801501640163095,0.0008800000000000585
Forum_Post,0.029083269225105166,0.0005600000000000604
active_weeks,0.018656344516826785,0.0005600000000000382
